====== 30keV Ar into GaAs (sputter) =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
====== TRIM Calc.= Ar(30 keV) ==> GaAs( 1600 A) ==============================
------------------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Ar   Energy = 30 keV
 Total Ions calculated =20000.00
============= TARGET MATERIAL ======================================
Layer  1 : GaAs
Layer Width = 16000.E-01 AAA ;
  Layer # 1- Density = 4.429E22 atoms/cm3 = 5.32 g/cm3
  Layer # 1- Ga = 50   Atomic Percent = 48.2 Mass Percent
  Layer # 1- As = 50   Atomic Percent = 51.7 Mass Percent
====================================================================
 Ion Average Range = 265025.E-03 A   Straggling = 141644.E-03 A
 Ion Lateral Range = 108287.E-03 A   Straggling = 138892.E-03 A
 Ion Radial  Range = 170165.E-03 A   Straggling = 989247.E-04 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
9280100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
9440100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
9600100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
9760100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
9920100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1008010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1024010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1040010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1056010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1072010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1088010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1104010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1120010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1136010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1152010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1168010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1184010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1200010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1216010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1232010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1248010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1264010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1280010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1296010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1312010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1328010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1344010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1360010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1376010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1392010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1408010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1424010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1440010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1456010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1472010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1488010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1504010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1520010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1536010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1552010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1568010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1584010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1600010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
